Linux 4.18.0-348.23.1.el8_5.aarch64 (cna0146.deucalion.macc.fccn.pt) 	16/03/26 	_aarch64_	(48 CPU)

11:48:51      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:49:06    30910    124654    0.20    0.20    0.00    0.00    0.40     8  python
11:49:06    30910    124655  235.80    7.00    0.00    0.00  242.80    24  java

11:49:01      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:49:06        0      1424      6.60      0.00  728064   30080   0.09  node_exporter
11:49:06    30910    124654      5.80      0.00  194880   38592   0.12  python
11:49:06    30910    124655    215.40      0.00 13416576  324160   0.98  java

11:49:06      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:49:11        0      1274    0.00    0.20    0.00    0.00    0.20    36  kworker/36:1H-kblockd
11:49:11        0      1441    0.20    0.00    0.00    0.00    0.20    12  cgroups_exporte
11:49:11        0      1450    0.00    0.20    0.00    0.00    0.20     0  NetworkManager
11:49:11        0      2656    0.00    0.20    0.00    0.00    0.20    13  kiblnd_sd_01_00
11:49:11        0      2658    0.00    0.20    0.00    0.00    0.20    20  kiblnd_sd_01_02
11:49:11        0      2659    0.00    0.20    0.00    0.00    0.20    23  kiblnd_sd_01_03
11:49:11        0      2672    0.00    0.20    0.00    0.00    0.20     1  ptlrpcd_00_01
11:49:11        0      2674    0.00    0.20    0.00    0.00    0.20     1  ptlrpcd_00_03
11:49:11        0      2716    0.00    0.20    0.00    0.00    0.20    47  ptlrpcd_03_09
11:49:11    30910    121285    0.60    1.00    0.00    0.00    1.60    15  pidstat
11:49:11    30910    121579    0.40    1.20    0.00    0.00    1.60    47  pidstat
11:49:11    30910    122103    0.40    1.20    0.00    0.00    1.60    16  pidstat
11:49:11    30910    124653    0.00    1.60    0.00    0.00    1.60     4  pidstat
11:49:11    30910    124655  177.60    8.00    0.00    0.00  185.60    24  java

11:49:06      UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:49:11    30910    124654      1.00      0.00  194880   38592   0.12  python
11:49:11    30910    124655    463.40      0.00 13582464  466304   1.42  java

11:49:11      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:49:16        0        11    0.00    0.20    0.00    0.00    0.20    15  rcu_sched
11:49:16        0      1450    0.20    0.20    0.00    0.00    0.40     8  NetworkManager
11:49:16      995      1475    0.20    0.00    0.00    0.00    0.20     0  chronyd
11:49:16        0      2652    0.00    0.20    0.00    0.00    0.20    10  kiblnd_sd_00_00
11:49:16        0      2655    0.00    0.20    0.00    0.00    0.20    10  kiblnd_sd_00_03
11:49:16        0      2656    0.00    1.00    0.00    0.00    1.00    15  kiblnd_sd_01_00
11:49:16        0      2657    0.00    1.40    0.00    0.00    1.40    22  kiblnd_sd_01_01
11:49:16        0      2658    0.00    1.20    0.00    0.00    1.20    20  kiblnd_sd_01_02
11:49:16        0      2659    0.00    1.00    0.00    0.00    1.00    23  kiblnd_sd_01_03
11:49:16        0      2660    0.00    0.60    0.00    0.00    0.60    33  kiblnd_sd_02_00
11:49:16        0      2661    0.00    0.40    0.00    0.00    0.40    24  kiblnd_sd_02_01
11:49:16        0      2662    0.00    0.40    0.00    0.00    0.40    26  kiblnd_sd_02_02
11:49:16        0      2663    0.00    0.40    0.00    0.00    0.40    32  kiblnd_sd_02_03
11:49:16        0      2673    0.00    0.20    0.00    0.00    0.20     0  ptlrpcd_00_02
11:49:16        0      2679    0.00    0.20    0.00    0.00    0.20     3  ptlrpcd_00_08
11:49:16        0      2683    0.00    0.20    0.00    0.00    0.20    14  ptlrpcd_01_00
11:49:16        0      2686    0.00    0.20    0.00    0.00    0.20    16  ptlrpcd_01_03
11:49:16        0      2687    0.00    0.20    0.00    0.00    0.20    18  ptlrpcd_01_04
11:49:16        0      2688    0.00    0.20    0.00    0.00    0.20    15  ptlrpcd_01_05
11:49:16        0      2694    0.00    0.20    0.00    0.00    0.20    21  ptlrpcd_01_11
11:49:16        0      2696    0.00    0.20    0.00    0.00    0.20    31  ptlrpcd_02_01
11:49:16        0      2704    0.00    0.20    0.00    0.00    0.20    27  ptlrpcd_02_09
11:49:16        0      2705    0.00    0.20    0.00    0.00    0.20    27  ptlrpcd_02_10
11:49:16        0      2708    0.00    0.20    0.00    0.00    0.20    39  ptlrpcd_03_01
